,OrdereinstellungenAnzahl,GeschaefteAnzahl,GeschaefteKurswert,OrderloeschungenAnzahl,OrderaenderungenAnzahl,KurswertMedian,OrdereinstellungenWertMedian,MarketMakerAnzahl,ISIN,date
179,41,10,9803.5,0,0,1035.5,1900,1,DE000A0D88T9,2020-12-01
180,1,1,36264.0,0,0,36264.0,200,1,DE000LS9BNC2,2020-12-01
182,12,4,147041.11,0,0,12939.1,18,1,LU0392495023,2020-12-01
183,1,1,320.0,0,0,320.0,1000,1,DE000LS778P5,2020-12-01
184,2,1,6600.0,0,0,6600.0,5000,1,DE000LS2L355,2020-12-01
185,7,3,12132.11,0,0,1528.25,116,1,LU0274209237,2020-12-01
189,1,1,536.18,0,0,536.18,19,1,LU0446734872,2020-12-01
190,2,1,1137.0,0,0,1137.0,300,1,DE000LS8H3X4,2020-12-01
191,26,2,2928.0,0,0,1532.0,1,1,DE000LS8G0U7,2020-12-01
192,18,1,2130.0,0,0,2130.0,1,1,MHY2065G1219,2020-12-01
193,4,1,2435.36,0,0,2435.36,1964,1,DE000LS6XP93,2020-12-01
194,1,1,456.0,0,0,456.0,60,1,US38341P1021,2020-12-01
196,1047,103,445512.8,0,0,2697.0,1,1,DE0006636681,2020-12-01
197,10,2,22085.416,0,0,21872.8,80,1,DE000ETFL326,2020-12-01
198,38,1,547.5,0,0,547.5,500,1,US8781551002,2020-12-01
199,1,1,1487.25,0,0,1487.25,3,1,DE000LS9FZN4,2020-12-01
200,46,8,50663.35,0,0,9910.0,80,1,DE0005545503,2020-12-01
202,2,1,577.2,0,0,577.2,70,1,SE0001662222,2020-12-01
204,3,1,139.2,0,0,139.2,1,1,LU1900068914,2020-12-01
206,82,10,101516.2,0,0,6890.0,4,1,FR0000120073,2020-12-01
210,3,3,1176.49,0,0,134.19,71,1,DE000LS8N4U0,2020-12-01
211,11,2,2310.0,0,0,1170.0,3000,1,DE000LS8G0A9,2020-12-01
212,2,1,1183.0,0,0,1183.0,130,1,DE000LS8M1R3,2020-12-01
213,109,7,11104.0,0,0,1170.0,1,1,DE000LS8N564,2020-12-01
214,73,6,12143.95,0,0,2416.0,0,1,CH0023405456,2020-12-01
215,7,2,5838.8,0,0,5450.0,5000,1,US2578672006,2020-12-01
216,9,1,190.5,0,0,190.5,1,1,US52187K1016,2020-12-01
217,9,1,473.82,0,0,473.82,1,1,DE000LS8BT85,2020-12-01
223,2953,203,915969.865,0,0,2017.5,100,1,CA05156X8843,2020-12-01
226,3,2,4830.0,0,0,4375.0,250,1,DE000LS8D7Z4,2020-12-01
227,3,2,1324.1,0,0,815.15,685,1,DE000LS7KC84,2020-12-01
228,133,2,9011.7,0,0,8347.5,18,1,DE0005190037,2020-12-01
229,154,5,14722.882,0,0,2110.8,200,1,GB00BH4HKS39,2020-12-01
230,10,2,49785.555,0,0,46833.055,100,1,IE00BL25JN58,2020-12-01
231,48,21,102628.75,0,0,2580.0,3000,1,DE000LS8N572,2020-12-01
232,2,1,125.22,0,0,125.22,1,1,DE000LS9PVU7,2020-12-01
234,3,1,2300.0,0,0,2300.0,1000,1,DE000LS8BT51,2020-12-01
236,6,1,7650.0,0,0,7650.0,90,1,US7237871071,2020-12-01
237,1,1,39.0,0,0,39.0,6,1,DE000LS8M1P7,2020-12-01
239,32,13,31304.5,0,0,1162.0,200,1,DE000LS8D7W1,2020-12-01
240,1,1,131.0,0,0,131.0,100,1,DE000LS75SW2,2020-12-01
241,236,16,21199.0,0,0,1180.0,50,1,US81362J2096,2020-12-01
242,3,1,2721.675,0,0,2721.675,58,1,BMG169621056,2020-12-01
