,ISIN,Ordereinstellungen_Anzahl,Geschaefte_Anzahl,Geschaefte_Kurswert,Orderloeschungen_Anzahl,Orderaenderungen_Anzahl,Kurswert_Median,Ordereinstellungen_WertMedian,MarketMaker_Anzahl,date
0,ISIN,Ordereinstellungen_Anzahl,Geschaefte_Anzahl,Geschaefte_Kurswert,Orderloeschungen_Anzahl,Orderaenderungen_Anzahl,Kurswert_Median,Ordereinstellungen_WertMedian,MarketMaker_Anzahl,2022-01-03
5036,PLSHPR000021,1,0,0,0,0,,,1,2022-01-03
5037,DE000TT82708,1,0,0,0,0,,,1,2022-01-03
5038,DE000HR9UHC1,1,1,1930.76,0,0,,,1,2022-01-03
5039,DE000TT823T2,3,2,6256.40,1,0,3128.20,,1,2022-01-03
5040,DE000TT82AU1,1,2,1246.50,0,0,623.25,,1,2022-01-03
5041,DE000TT82DR1,1,0,0,1,0,,,1,2022-01-03
5042,DE000HR9USD6,1,1,457.50,0,0,,,1,2022-01-03
5043,DE000HR9UVZ3,1,1,344.80,0,0,,,1,2022-01-03
5044,DE000HR9V7N7,1,1,840.00,0,0,,,1,2022-01-03
5045,DE000HR9V9X2,2,2,1027.13,0,0,513.57,,1,2022-01-03
5046,DE000GX1L8J3,1,1,598.00,0,0,,,1,2022-01-03
5047,DE000GX1KEV9,2,2,589.68,0,0,294.84,,1,2022-01-03
5048,DE000GX1KH36,5,3,1101.69,2,0,281.67,,1,2022-01-03
5049,DE000GX1KMN9,2,1,545.00,0,0,,,1,2022-01-03
5050,DE000GX1L2T5,1,1,273.48,0,0,,,1,2022-01-03
5051,DE000GX1LPP5,2,2,2465.00,0,0,1232.50,,1,2022-01-03
5052,DE000GX1M058,1,1,361.50,0,0,,,1,2022-01-03
5053,DE000GX1M231,1,1,159.33,0,0,,,1,2022-01-03
5054,IE00B8KMSQ34,2,2,336.18,0,0,168.09,,1,2022-01-03
5055,IE00B988C465,1,1,165.54,0,0,,,1,2022-01-03
5056,IE00BDFJYP58,2,2,1075.90,0,0,537.95,,1,2022-01-03
5057,DE000HR9VRH7,1,1,481.25,0,0,,,1,2022-01-03
5058,DE000HR9VRT2,1,1,281.06,0,0,,,1,2022-01-03
5059,DE000GX1P1S5,1,1,293.08,0,0,,,1,2022-01-03
5060,IE00BF3N6Y61,1,0,0,0,0,,,1,2022-01-03
5061,IE00BF3N7094,2,2,56.00,0,0,28.00,,1,2022-01-03
5062,IE00BFZXGZ54,4,4,7589.95,0,0,1455.70,,1,2022-01-03
5063,IT0005453250,2,1,999.68,0,0,,,1,2022-01-03
5064,DE000TT8XB15,7,2,722.64,5,0,361.32,,1,2022-01-03
5065,DE000TT8X8T2,2,2,26400.00,0,0,13200.00,,1,2022-01-03
5066,DE000HR9W9G6,1,1,1932.00,0,0,,,1,2022-01-03
5067,DE000HR9WKK4,1,0,0,0,0,,,1,2022-01-03
5068,DE000HR9WMX3,1,1,501.00,0,0,,,1,2022-01-03
5069,DE000GX1QNP9,1,1,2214.80,0,0,,,1,2022-01-03
5070,DE000HR9WT97,1,1,1920.00,0,0,,,1,2022-01-03
5071,DE000HR9WSN1,1,1,1816.00,0,0,,,1,2022-01-03
5072,DE000HR9WSP6,1,1,381.00,0,0,,,1,2022-01-03
5073,DE000GX1RGL0,1,1,7167.27,0,0,,,1,2022-01-03
5074,CA92859G2027,42,17,13698.76,15,0,360.40,,1,2022-01-03
5075,IE00BJK55B31,1,1,30.00,0,0,,,1,2022-01-03
5076,IE00BJXT3B87,1,1,44.79,0,0,,,1,2022-01-03
5077,IE00BJXT3C94,1,1,49476.26,0,0,,,1,2022-01-03
5078,IE00BK72HM96,2,2,458.84,0,0,229.42,,1,2022-01-03
5079,DE000TT839M3,17,15,5743.86,2,0,283.80,,1,2022-01-03
5080,DE000TT839N1,1,0,0,0,0,,,1,2022-01-03
5081,DE000HR9WUH9,3,1,504.90,0,0,,,1,2022-01-03
5082,DE000HR9X188,1,0,0,0,0,,,1,2022-01-03
5083,DE000HR9X1Y5,1,0,0,0,0,,,1,2022-01-03
5084,DE000HR9X469,1,1,9976.17,0,0,,,1,2022-01-03
5085,DE000HR9WYV2,1,0,0,0,0,,,1,2022-01-03
5086,DE000HR9X4A9,1,1,512.60,0,0,,,1,2022-01-03
5087,DE000HR9X840,1,1,708.20,0,0,,,1,2022-01-03
5088,DE000HR9XBS4,1,1,963.60,0,0,,,1,2022-01-03
5089,DE000TT83LQ4,1,1,1356.42,0,0,,,1,2022-01-03
5090,DE000HR9Y0T6,17,12,4031.08,5,0,285.43,,1,2022-01-03
5091,DE000HR9Y251,1,1,466.65,0,0,,,1,2022-01-03
5092,DE000HR9Y6S5,1,0,0,1,0,,,1,2022-01-03
5093,DE000HR9YC11,1,0,0,0,0,,,1,2022-01-03
5094,DE000GX1UCR0,1,1,303.62,0,0,,,1,2022-01-03
5095,DE000GX1US07,1,1,1187.92,0,0,,,1,2022-01-03
5096,DE000GX1UXS4,1,1,114.40,0,0,,,1,2022-01-03
5097,DE000GX1V133,2,2,1001.73,0,0,500.87,,1,2022-01-03
5098,CA64128F7039,22,10,16941.19,8,0,363.74,,1,2022-01-03
5099,IE00BKKKWJ26,4,4,1093.13,0,0,285.16,,1,2022-01-03
5100,IE00BKLC5874,2,2,19487.92,0,0,9743.96,,1,2022-01-03
5101,IE00BKPSFC54,3,3,1595.34,0,0,747.88,,1,2022-01-03
5102,IE00BKPSFD61,2,2,1035.82,0,0,517.91,,1,2022-01-03
5103,IE00BKPX3K41,1,1,110.16,0,0,,,1,2022-01-03
5104,IE00BKSBGS44,2,2,72.49,0,0,36.25,,1,2022-01-03
5105,IE00BKSBGT50,3,3,669.55,0,0,54.29,,1,2022-01-03
5106,IE00BL0BMG90,1,1,34.50,0,0,,,1,2022-01-03
5107,IE00BL977C92,13,11,4662.91,2,0,247.08,,1,2022-01-03
5108,IE00BM67HJ62,1,1,504.50,0,0,,,1,2022-01-03
5109,IE00BM67HX07,2,2,472.32,0,0,236.16,,1,2022-01-03
5110,IE00BM97MR69,1,1,1275.78,0,0,,,1,2022-01-03
5111,NL0015000IY2,8,4,1352.97,1,0,49.56,,1,2022-01-03
5112,DE000HR9YQ49,1,1,849.00,0,0,,,1,2022-01-03
5113,DE000HR9YQ80,1,1,315.00,0,0,,,1,2022-01-03
5114,DE000HR9YQC4,9,7,3530.97,2,0,502.20,,1,2022-01-03
5115,DE000HR9YQH3,2,3,2007.60,0,0,660.00,,1,2022-01-03
5116,DE000TT84FZ5,1,1,1552.80,0,0,,,1,2022-01-03
5117,DE000HR9Z4H2,1,0,0,0,0,,,1,2022-01-03
5118,DE000HR9ZCL2,1,1,278.25,0,0,,,1,2022-01-03
5119,DE000HR9ZCZ2,1,0,0,0,0,,,1,2022-01-03
5120,DE000GX1VK95,2,2,818.94,0,0,409.47,,1,2022-01-03
5121,DE000GX1X2T1,1,1,299.60,0,0,,,1,2022-01-03
5122,IE00BMDBMG37,1,1,227.80,0,0,,,1,2022-01-03
5123,IE00BMTX2B82,1,1,58.80,0,0,,,1,2022-01-03
5124,IE00BMX0DF60,3,3,537.60,0,0,157.56,,1,2022-01-03
5125,IE00BMXC7V63,1,1,237.38,0,0,,,1,2022-01-03
5126,IE00BMXC7W70,2,2,852.13,0,0,426.07,,1,2022-01-03
5127,IE00BN92ZL31,4,4,1641.08,0,0,300.19,,1,2022-01-03
5128,IE00BYTRRB94,3,3,3154.76,0,0,106.40,,1,2022-01-03
5129,US20464U1007,5,1,820.00,3,0,,,1,2022-01-03
5130,US3580541049,4,4,1178.60,0,0,285.50,,1,2022-01-03
5131,DE000HR9ZH64,1,0,0,1,0,,,1,2022-01-03
5132,DE000HR9ZHN7,1,0,0,0,0,,,1,2022-01-03
5133,DE000TT84YW3,1,1,1294.56,0,0,,,1,2022-01-03
5134,DE000TT85230,1,1,244.95,0,0,,,1,2022-01-03
5135,DE000HB009S4,1,0,0,0,0,,,1,2022-01-03
5136,DE000HB009T2,1,1,459.36,0,0,,,1,2022-01-03
5137,DE000HB00AA8,1,1,1350.00,0,0,,,1,2022-01-03
5138,CA98420Q2071,18,4,1359.33,9,0,376.98,,1,2022-01-03
5139,IE00BYYR0489,17,12,4160.26,1,0,180.56,,1,2022-01-03
5140,KYG8904A1004,1,0,0,0,0,,,1,2022-01-03
5141,LU0533032347,1,0,0,0,0,,,1,2022-01-03
5142,LU0533032776,4,3,15291.80,0,0,4193.60,,1,2022-01-03
5143,LU0533033311,1,1,896.60,0,0,,,1,2022-01-03
5144,LU0533033741,4,4,8823.20,0,0,1174.30,,1,2022-01-03
5145,LU0533034046,1,0,0,0,0,,,1,2022-01-03
5146,DE000HB00HC9,2,1,263.04,0,0,,,1,2022-01-03
5147,DE000HB00P52,6,2,1477.50,2,1,738.75,,1,2022-01-03
5148,DE000HB01UH9,2,2,785.08,0,0,392.54,,1,2022-01-03
5149,DE000HB01PE6,1,0,0,1,0,,,1,2022-01-03
5150,CA00775X1006,89,47,45055.41,26,0,346.00,,1,2022-01-03
5151,CA28623W1077,2,2,2043.05,0,0,1021.52,,1,2022-01-03
5152,FR0000033904,3,1,233.20,2,0,,,1,2022-01-03
5153,LU0959210278,1,1,234.12,0,0,,,1,2022-01-03
5154,LU1135865084,2,2,1728.90,0,0,864.45,,1,2022-01-03
5155,LU1327051279,1,1,86.06,0,0,,,1,2022-01-03
5156,LU1437016972,9,7,32490.92,1,0,809.44,,1,2022-01-03
5157,LU1437017350,1,0,0,1,0,,,1,2022-01-03
5158,MHY235921357,1,1,565.00,0,0,,,1,2022-01-03
5159,US42341P1049,1,1,3572.40,0,0,,,1,2022-01-03
5160,DE000HB02DR2,1,1,1064.00,0,0,,,1,2022-01-03
5161,DE000HB02EK5,1,1,988.29,0,0,,,1,2022-01-03
5162,DE000HB02EQ2,1,1,1192.50,0,0,,,1,2022-01-03
